Findings,Descrptions,Solutions
Account lockout,All applications should contain the possibility to lock down accounts for whenever it detects attacks by/on users. Also you should include options for both soft and hard lockout mechanisms.,All applications should contain the possibility to lock down accounts for whenever it detects attacks by/on users. Also you should include options for both soft and hard lockout mechanisms.
XML attacks,"Whenever you are using XML in your application there are a few possibilities for injections depending on how you are applying XML in your system.  Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format which is both humanreadable and machinereadable. It is defined by the W3C''s XML 1.0 Specification and by several other related specifications, all of which are free open standards.","Whenever you are using XML in your application there are a few possibilities for injections depending on how you are applying XML in your system.  Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format which is both humanreadable and machinereadable. It is defined by the W3C''s XML 1.0 Specification and by several other related specifications, all of which are free open standards."
Centralized security controls,Whenever security controls do not have a centralized implementation there is a high probability for bugs or security issues being hidden into your application due to the loss of abstraction and duplication.,Whenever security controls do not have a centralized implementation there is a high probability for bugs or security issues being hidden into your application due to the loss of abstraction and duplication.
Data controller display layer separation,"The application should separate data, controller, and display layers in order to make your application more clear and understandable in terms of abstraction due to separation.  Whenever your application is more organized and abstracted it is much easier to implement less flawed security controls.","The application should separate data, controller, and display layers in order to make your application more clear and understandable in terms of abstraction due to separation.  Whenever your application is more organized and abstracted it is much easier to implement less flawed security controls."
Proven authentication mechanisms,"Whenever your application has the option for users to authenticate themselves your method should be ""proven"" and secure in the sense of that:  1. it should comply to some security standards/guidelines 2. Before implementing authentication on a live environment it has to be pentested/audited by    professionals.","Whenever your application has the option for users to authenticate themselves your method should be ""proven"" and secure in the sense of that:  1. it should comply to some security standards/guidelines 2. Before implementing authentication on a live environment it has to be pentested/audited by    professionals."
Administrative interfaces must not be accessible to untrusted parties,Whenever it is not necessary for administrative pages to be publicly accessible these pages should have restricted access for users. Whenever these pages are secluded from the rest of the application in terms of accessibility this could reduce the attack vector of malicious users.,Whenever it is not necessary for administrative pages to be publicly accessible these pages should have restricted access for users. Whenever these pages are secluded from the rest of the application in terms of accessibility this could reduce the attack vector of malicious users.
Concurrent session handling,You should keep track of all the different active concurrent sessions. Whenever the application discovers concurrent sessions it should always notify the user about this and should give him the opportunity to end the other sessions.  With this defense in place it becomes harder for attackers to hijack a users session since they will be notified about concurrent sessions.,You should keep track of all the different active concurrent sessions. Whenever the application discovers concurrent sessions it should always notify the user about this and should give him the opportunity to end the other sessions.  With this defense in place it becomes harder for attackers to hijack a users session since they will be notified about concurrent sessions.
Auto escaping technology,"Some frameworks/templates have the option to autoescape all incoming userinput to harmless encoded data in order to prevent attacks. However, this autoescaping functionality is also optional to be disabled. Whenever this autoescaping function has been disabled your application might be vulnerable to attacks like XSS.","Some frameworks/templates have the option to autoescape all incoming userinput to harmless encoded data in order to prevent attacks. However, this autoescaping functionality is also optional to be disabled. Whenever this autoescaping function has been disabled your application might be vulnerable to attacks like XSS."
Client side storage,"Client side storage also known as Offline Storage or Web Storage. The Underlying storage mechanism may vary from one user agent to the next. In other words, any authentication your application requires can be bypassed by a user with local privileges to the machine on which the data is stored. Therefore, it''s recommended not to store any sensitive information in local storage.","Client side storage also known as Offline Storage or Web Storage. The Underlying storage mechanism may vary from one user agent to the next. In other words, any authentication your application requires can be bypassed by a user with local privileges to the machine on which the data is stored. Therefore, it''s recommended not to store any sensitive information in local storage."
Log rotation and seperation,Log separation is indispensable in order to prevent it from either radically downgrading your application its performance or even causing a Denial of service because the server becomes unavailable due to the flooding of logs.,Log separation is indispensable in order to prevent it from either radically downgrading your application its performance or even causing a Denial of service because the server becomes unavailable due to the flooding of logs.
HTTP strict transport security,HTTP Strict Transport Security (HSTS) is an optin security enhancement that is specified by a web application through the use of a special response header. Once a supported browser receives this header that browser will prevent any communications from being sent over HTTP to the specified domain and will instead send all communications over HTTPS. It also prevents HTTPS click through prompts on browsers.   HSTS addresses the following threats:  1. User bookmarks or manually types http://example.com and is subject to a maninthemiddle attacker    HSTS automatically redirects HTTP requests to HTTPS for the target domain 2. Web application that is intended to be purely HTTPS inadvertently contains HTTP links or serves content over HTTP    HSTS automatically redirects HTTP requests to HTTPS for the target domain 3. A maninthemiddle attacker attempts to intercept traffic from a victim user using an invalid certificate and     hopes the user will accept the bad certificate 4. HSTS does not allow a user to override the invalid certificate message,HTTP Strict Transport Security (HSTS) is an optin security enhancement that is specified by a web application through the use of a special response header. Once a supported browser receives this header that browser will prevent any communications from being sent over HTTP to the specified domain and will instead send all communications over HTTPS. It also prevents HTTPS click through prompts on browsers.   HSTS addresses the following threats:  1. User bookmarks or manually types http://example.com and is subject to a maninthemiddle attacker    HSTS automatically redirects HTTP requests to HTTPS for the target domain 2. Web application that is intended to be purely HTTPS inadvertently contains HTTP links or serves content over HTTP    HSTS automatically redirects HTTP requests to HTTPS for the target domain 3. A maninthemiddle attacker attempts to intercept traffic from a victim user using an invalid certificate and     hopes the user will accept the bad certificate 4. HSTS does not allow a user to override the invalid certificate message
API responses security headers,"There are some security headers which should be properly configured in order to protect some API callbacks against Reflective File Download and other type of injections.  Also check if the API response is dynamic, if user input is reflected in the response. If so, you must validate and encode the input, in order to prevent XSS and Same origin method execution attacks.","There are some security headers which should be properly configured in order to protect some API callbacks against Reflective File Download and other type of injections.  Also check if the API response is dynamic, if user input is reflected in the response. If so, you must validate and encode the input, in order to prevent XSS and Same origin method execution attacks."
Do not support untrusted client side technologies,When using unsupported client side technologies which are not supported natively via W3C browser standards. Your application could be open to different types of attacks.,When using unsupported client side technologies which are not supported natively via W3C browser standards. Your application could be open to different types of attacks.
Signed message payloads WS security,"In order to establish trust between two communicating party''s such as servers and clients there message payload should be signed by means of public/private key method. This builds trust and makes it harder for attackers to impersonate different users.  Web Services Security (WSSecurity, WSS) is an extension to SOAP to apply security to  Web services. It is a member of the Web service specifications and was published by OASIS.  The protocol specifies how integrity and confidentiality can be enforced on messages and allows  the communication of various security token formats, such as Security Assertion Markup Language (SAML),  Kerberos, and X.509. Its main focus is the use of XML Signature and XML Encryption to provide endtoend security.","In order to establish trust between two communicating party''s such as servers and clients there message payload should be signed by means of public/private key method. This builds trust and makes it harder for attackers to impersonate different users.  Web Services Security (WSSecurity, WSS) is an extension to SOAP to apply security to  Web services. It is a member of the Web service specifications and was published by OASIS.  The protocol specifies how integrity and confidentiality can be enforced on messages and allows  the communication of various security token formats, such as Security Assertion Markup Language (SAML),  Kerberos, and X.509. Its main focus is the use of XML Signature and XML Encryption to provide endtoend security."
Hardware key vault,"Keys should remain in a protected key vault at all times. In particular, ensure that there is a gap between the threat vectors that have direct access to the data and the threat vectors that have direct access to the keys. This implies that keys should not be stored on the application or web server (assuming that application attackers are part of the relevant threat model).","Keys should remain in a protected key vault at all times. In particular, ensure that there is a gap between the threat vectors that have direct access to the data and the threat vectors that have direct access to the keys. This implies that keys should not be stored on the application or web server (assuming that application attackers are part of the relevant threat model)."
SOAP basic profile,Simple Soap Binding Profile is a specification from the Web Services Interoperability industry consortium. It is intended as a support profile for the WSI Basic Profile. This profile defines the way WSDL documents are to bind operations to a specific transport protocol SOAP.,Simple Soap Binding Profile is a specification from the Web Services Interoperability industry consortium. It is intended as a support profile for the WSI Basic Profile. This profile defines the way WSDL documents are to bind operations to a specific transport protocol SOAP.
Strong CRYPTO through CA hierachy,"When you have an offline PKI setup you need to have solid strong crypto layers. An attacker will look for weak chains in the hierarchy and abuse them when found. This can lead to ManInTheMiddle (MITM) attacks and impact the 3 security pillars C.I.A (Confidentiality, Integrity and Availability).","When you have an offline PKI setup you need to have solid strong crypto layers. An attacker will look for weak chains in the hierarchy and abuse them when found. This can lead to ManInTheMiddle (MITM) attacks and impact the 3 security pillars C.I.A (Confidentiality, Integrity and Availability)."
Build and deploy in a secure fashion,Using build platforms on premise or as a service is one of the core components in a SDLC. These build and deploy servers are sometimes not perfect for performing secure builds or deploys. This is because the lack of hardening of the OS for security improvements where the application could also benefit from this hardening. Also the access of third party services can lead to compromise of the secrets or integrity of the code of the application.,Using build platforms on premise or as a service is one of the core components in a SDLC. These build and deploy servers are sometimes not perfect for performing secure builds or deploys. This is because the lack of hardening of the OS for security improvements where the application could also benefit from this hardening. Also the access of third party services can lead to compromise of the secrets or integrity of the code of the application.
Signed application components,When an application don''t use signed components an attacker can easily modify parts of the application and load inject a backdoors. Also the attacker could modify business logic in the application without notice. Signed application components can help harden your application and make it noticeable when an attacker tries to modify the code.,When an application don''t use signed components an attacker can easily modify parts of the application and load inject a backdoors. Also the attacker could modify business logic in the application without notice. Signed application components can help harden your application and make it noticeable when an attacker tries to modify the code.
Build proccess security hardening,"Building an application should always be done on a server that you trust, you are in control of and has the latest security patches and hardening configured. In some applications you can use security techniques and modules that can protect your application from known security issues. Always use these techniques when they are available.","Building an application should always be done on a server that you trust, you are in control of and has the latest security patches and hardening configured. In some applications you can use security techniques and modules that can protect your application from known security issues. Always use these techniques when they are available."
Sanitize unstructured data,Verify that unstructured data is sanitized to enforce generic safety measures. When this is not setup an attacker can use this unstructured data to harm the application and perform injections.,Verify that unstructured data is sanitized to enforce generic safety measures. When this is not setup an attacker can use this unstructured data to harm the application and perform injections.
Zero keys and secrets before destroying them,Attackers are always on the lookout for secrets of a server or computer. When these secrets are accessible for an attacker because the key was not properly being destroyed then this can lead to security vulnerabilities. All secrets and keys should be completely erased from the memory since  an attacker could otherwise potentially retrieve these keys with memory dumping attacks on the application.,Attackers are always on the lookout for secrets of a server or computer. When these secrets are accessible for an attacker because the key was not properly being destroyed then this can lead to security vulnerabilities. All secrets and keys should be completely erased from the memory since  an attacker could otherwise potentially retrieve these keys with memory dumping attacks on the application.
Keys and passwords should be replaceable,It always can happen that you need the keys or the passwords of the application or in components that are needed by the application to work in a secure state. When these keys needs to be revoked because the password was leaked or an administrator leaving the company it''s always smart to have the possibility to revoke the keys or passwords without complications.,It always can happen that you need the keys or the passwords of the application or in components that are needed by the application to work in a secure state. When these keys needs to be revoked because the password was leaked or an administrator leaving the company it''s always smart to have the possibility to revoke the keys or passwords without complications.
Enforce random numbers are created with proper entropy at runtime,There are some techniques attackers use to decrease the entropy pool of the system so it will create weak and predictable ''random'' numbers that should not be used in crypto functions.,There are some techniques attackers use to decrease the entropy pool of the system so it will create weak and predictable ''random'' numbers that should not be used in crypto functions.
Segregated components,It''s always possible that an attacker can find a security flaw and abuse this to gain access to the server. From here the attacker tries to further infiltrate into the network and other important components of the application for example the database. This database should be firewalled correctly so it''s not accessible from the internet. Also this database has it own server and is in a different segment of the network. Always apply INGRESS and EGRESS filtering for all the servers used.,It''s always possible that an attacker can find a security flaw and abuse this to gain access to the server. From here the attacker tries to further infiltrate into the network and other important components of the application for example the database. This database should be firewalled correctly so it''s not accessible from the internet. Also this database has it own server and is in a different segment of the network. Always apply INGRESS and EGRESS filtering for all the servers used.
PII protection,"There should be extra care taken into account when you are dealing with    PII(personal identifiable information)   Fincancial data ( credit history, tax records, pay history, beneficiaries)  Health data (medical records, medical device details, or deanonymized research records)  There are multiple laws in countries that demand proper protection by means of SSL/TLS for when the data is in transit and encrypted with pub priv key system when stored on the disk. This is needed to protect the user from identity theft and fraud.","There should be extra care taken into account when you are dealing with    PII(personal identifiable information)   Fincancial data ( credit history, tax records, pay history, beneficiaries)  Health data (medical records, medical device details, or deanonymized research records)  There are multiple laws in countries that demand proper protection by means of SSL/TLS for when the data is in transit and encrypted with pub priv key system when stored on the disk. This is needed to protect the user from identity theft and fraud."
Verify application is not vulnerable for known security issues,"Whenever security researchers find a vulnerability in a library, modules, frameworks, platforms or  operating system, these vulnerabilities are reported and saved in the CVE list.   CVE is a list of information security vulnerabilities and exposures that aims to provide  common names for  publicly known cyber security issues. The goal of CVE is to make it easier  to share data  across separate vulnerability capabilities (tools, repositories, and services)  with this ""common enumeration.""  Attackers can use these lists to find publicly known exploits which might exists in the target application.  A lot of popular CVE exploits also have exploits available in Metasploit or the Exploit database. This enables script kiddies to easily exploit the target applications services, libraries and operating systems.","Whenever security researchers find a vulnerability in a library, modules, frameworks, platforms or  operating system, these vulnerabilities are reported and saved in the CVE list.   CVE is a list of information security vulnerabilities and exposures that aims to provide  common names for  publicly known cyber security issues. The goal of CVE is to make it easier  to share data  across separate vulnerability capabilities (tools, repositories, and services)  with this ""common enumeration.""  Attackers can use these lists to find publicly known exploits which might exists in the target application.  A lot of popular CVE exploits also have exploits available in Metasploit or the Exploit database. This enables script kiddies to easily exploit the target applications services, libraries and operating systems."
Disable autocomplete for all the input fields in forms,"Browser autocomplete and password managers could be used by attackers to steal sensitive information. Whenever an application is susceptible to XSS (Cross site scripting) attacks, the attacker can inject forms into the application which are autocompleted by the browser.  The attacker can then use JavaScript to read the input fields and steal credentials or other sensitive information.","Browser autocomplete and password managers could be used by attackers to steal sensitive information. Whenever an application is susceptible to XSS (Cross site scripting) attacks, the attacker can inject forms into the application which are autocompleted by the browser.  The attacker can then use JavaScript to read the input fields and steal credentials or other sensitive information."
All time sources should be synchronized,"All time sources must be synchronized throughout. For example, different API servers or  microservices. to prevent logs to be tainted and become unusable for forensics.","All time sources must be synchronized throughout. For example, different API servers or  microservices. to prevent logs to be tainted and become unusable for forensics."
Generate strong crypto tokens with at least 120 bit of effective entropy,"ID values stored on the device such as IMEI and UDID should not be used as authentication  tokens. These tokens are retrievable by other applications and thus warrant no integrity.   Using ID values from the mobile device also implies the use of static API tokens which is  considered insecure. These tokens cannot for example, expire or be invalidated by the application.   Whenever the application uses static tokens such as the ID values and this information is  leaked by a MiTM attack or leaked in another way then this attacker can now fully compromise  the user without being able to reject to expire or invalidate the static token EMEI or UDID for example.","ID values stored on the device such as IMEI and UDID should not be used as authentication  tokens. These tokens are retrievable by other applications and thus warrant no integrity.   Using ID values from the mobile device also implies the use of static API tokens which is  considered insecure. These tokens cannot for example, expire or be invalidated by the application.   Whenever the application uses static tokens such as the ID values and this information is  leaked by a MiTM attack or leaked in another way then this attacker can now fully compromise  the user without being able to reject to expire or invalidate the static token EMEI or UDID for example."
Enforce sensitive information to be stored encrypted on device,The mobile application should not store sensitive data into unencrypted shared resources on the device. These resources can be accessible by other applications or  physically accessible whenever a device gets lost or stolen.,The mobile application should not store sensitive data into unencrypted shared resources on the device. These resources can be accessible by other applications or  physically accessible whenever a device gets lost or stolen.
Encrypt sensitive information different depending on context,The mobile application should not leak sensitive information. This information could be leaked for example whenever:   Screenshots are saved in the current application as the primary  application is backgrounded   Sensitive information is written to the console of the mobile device  The Activitymanager should show the application name and a blank page and not show information,The mobile application should not leak sensitive information. This information could be leaked for example whenever:   Screenshots are saved in the current application as the primary  application is backgrounded   Sensitive information is written to the console of the mobile device  The Activitymanager should show the application name and a blank page and not show information
Principle of least privilege,"The application should always be request minimal permissions for required functionality and resources. This is also known as principle of least privilege. The principle of least privilege  recommends that accounts have the least amount of privilege required to perform their  business processes. This encompasses user rights, resource permissions such as CPU limits,  memory, network, and file system permissions.   Whenever the application is compromised by a potential attacker, the attacker does not gain more arbitrary control over the victim''s device","The application should always be request minimal permissions for required functionality and resources. This is also known as principle of least privilege. The principle of least privilege  recommends that accounts have the least amount of privilege required to perform their  business processes. This encompasses user rights, resource permissions such as CPU limits,  memory, network, and file system permissions.   Whenever the application is compromised by a potential attacker, the attacker does not gain more arbitrary control over the victim''s device"
Protecting device memory,When critical functionality is loaded into the device memory and always in the same place and location  then an attacker is able to create a very stable exploit for the application. This can lead to abuse  of the application business logic or stealing of sensitive information.,When critical functionality is loaded into the device memory and always in the same place and location  then an attacker is able to create a very stable exploit for the application. This can lead to abuse  of the application business logic or stealing of sensitive information.
Enforce anti debugging techniques,An attacker can use debug tooling to find out how the application is working and determain the  possible attack surface by using tooling like GDB or running the application in an emulator.  Using these type of tooling the attacker can learn a lot about the tool and succesfully attack the application and have a higher change of succeeding.,An attacker can use debug tooling to find out how the application is working and determain the  possible attack surface by using tooling like GDB or running the application in an emulator.  Using these type of tooling the attacker can learn a lot about the tool and succesfully attack the application and have a higher change of succeeding.
Protect sensitive activities intents or content providers,"The application should never export sensitive activities, intents, or content providers. These activities could than potentially be exploited by third party applications installed on the same device.","The application should never export sensitive activities, intents, or content providers. These activities could than potentially be exploited by third party applications installed on the same device."
Mitigate memory dumping attacks,"Whenever sensitive information in stored in the devices’ memory, this information can  be dumped by various tool such as “android debugger (ADB)“ on android devices. This  information could give critical information about the application and could aid attackers  in their attacks.","Whenever sensitive information in stored in the devices’ memory, this information can  be dumped by various tool such as “android debugger (ADB)“ on android devices. This  information could give critical information about the application and could aid attackers  in their attacks."
Protect agains exported activities or content providers,Whenever input from exported activities intents or content provided is not properly validated this input could potentially exploit vulnerabilities on the mobile application depending on the context in where the input is being used.,Whenever input from exported activities intents or content provided is not properly validated this input could potentially exploit vulnerabilities on the mobile application depending on the context in where the input is being used.
Block common password and weak passphrases,"Applications should encourage the use of strong passwords and passphrases. Preferably the password policy should not put limitations or restrictions on the chosen passwords. Whenever the application supports strong passwords and the use of password managers, the possibility for an attacker performing a succesfull bruteforce attack drops significally.  This also increases the possibility that the application can be used with users'' passwords managers.","Applications should encourage the use of strong passwords and passphrases. Preferably the password policy should not put limitations or restrictions on the chosen passwords. Whenever the application supports strong passwords and the use of password managers, the possibility for an attacker performing a succesfull bruteforce attack drops significally.  This also increases the possibility that the application can be used with users'' passwords managers."
Application assets hosted on secure location,Whenever application assets such as JavaScript libraries or CSS styleshees are not hosted on the application itself but on a external CDN which is not under your control these CDNs'' can introduce security vulnerabilities. Whenever one of these CDN gets compromised attackers can include malicious scripts. Also whenever one of these CDNs'' get out of service it could affect the operation of the application and even cause a denial of service.,Whenever application assets such as JavaScript libraries or CSS styleshees are not hosted on the application itself but on a external CDN which is not under your control these CDNs'' can introduce security vulnerabilities. Whenever one of these CDN gets compromised attackers can include malicious scripts. Also whenever one of these CDNs'' get out of service it could affect the operation of the application and even cause a denial of service.
CSRF on REST,"CrossSite Request Forgery (CSRF) is a type of attack that occurs when a malicious Web site, email, blog, instant message, or program causes a users Web browser to perform an unwanted action on a trusted site for which the user is currently authenticated.  The impact of a successful crosssite request forgery attack is limited to the capabilities exposed by the vulnerable application. For example, this attack could result in a transfer of funds, changing a password, or purchasing an item in the users context. In effect, CSRF attacks are used by an attacker to make a target system perform a function (funds Transfer, form submission etc.) via the targets browser without knowledge of the target user at least until the unauthorized function has been committed.","CrossSite Request Forgery (CSRF) is a type of attack that occurs when a malicious Web site, email, blog, instant message, or program causes a users Web browser to perform an unwanted action on a trusted site for which the user is currently authenticated.  The impact of a successful crosssite request forgery attack is limited to the capabilities exposed by the vulnerable application. For example, this attack could result in a transfer of funds, changing a password, or purchasing an item in the users context. In effect, CSRF attacks are used by an attacker to make a target system perform a function (funds Transfer, form submission etc.) via the targets browser without knowledge of the target user at least until the unauthorized function has been committed."
File IO commands,"I/O commands allow you to own, use, read from, write to, close devices and To direct I/O  operations to a device. Whenever user supplied input i.e file names and/or file data is being  directly used in these commands, this could lead to path traversal, local file include, file  mime type, and OS command injection vulnerabilities.","I/O commands allow you to own, use, read from, write to, close devices and To direct I/O  operations to a device. Whenever user supplied input i.e file names and/or file data is being  directly used in these commands, this could lead to path traversal, local file include, file  mime type, and OS command injection vulnerabilities."
File upload anti virus check,"whenever files from untrusted services are uploaded to the server, there should be additional checks in place to verify whether these files contain viruses (malware, trojans, ransomware).","whenever files from untrusted services are uploaded to the server, there should be additional checks in place to verify whether these files contain viruses (malware, trojans, ransomware)."
File upload outside document root,"Files that are uploaded by users or other untrusted services should always be placed outside of the document root. This is to prevent malicious files from being parsed by attackers such as PHP/HTML/Javascript files.  Should an attacker succeed to bypass file upload restrictions and upload a malicous file, it would be impossible for the attacker to parse these files since they are not located inside of the applications document root.","Files that are uploaded by users or other untrusted services should always be placed outside of the document root. This is to prevent malicious files from being parsed by attackers such as PHP/HTML/Javascript files.  Should an attacker succeed to bypass file upload restrictions and upload a malicous file, it would be impossible for the attacker to parse these files since they are not located inside of the applications document root."
Authentication integrety checks,"Whenever security logs can be modified by unauthorized users, potential attackers could use these privileges to erase and cover their attacks against the application or simply soil the log files.","Whenever security logs can be modified by unauthorized users, potential attackers could use these privileges to erase and cover their attacks against the application or simply soil the log files."
Unauthorized and unauthenticated access security logs,"Security logs should never allow unauthorized/unauthenticated access because these files include a lot of sensitive information and could assist an attacker in leveraging attacks. Whenever these logs can be accessed and modified, attackers could also erase their presence and attack trail they made to the application.","Security logs should never allow unauthorized/unauthenticated access because these files include a lot of sensitive information and could assist an attacker in leveraging attacks. Whenever these logs can be accessed and modified, attackers could also erase their presence and attack trail they made to the application."
Commonly chosen weak passwords and passphrases,Whenever an attacker has enumerated usernames from an application the attacker could start a bruteforce attack on the authentication functionality. Whenever users have common known weak passwords or passphrases there is a high probability that the attacker can compromise  some of the accounts on the application.,Whenever an attacker has enumerated usernames from an application the attacker could start a bruteforce attack on the authentication functionality. Whenever users have common known weak passwords or passphrases there is a high probability that the attacker can compromise  some of the accounts on the application.
Two factor authentication,"Two factor authenitcation must be implemented to protect your applications users against unauthorized use of the application.  Whenever the users username and password are leaked or disclosed by an application on what ever fashion possible, the  users account should still be proteced by two factor authentication mechanisms to prevent attackers from logging in with the credentials.","Two factor authenitcation must be implemented to protect your applications users against unauthorized use of the application.  Whenever the users username and password are leaked or disclosed by an application on what ever fashion possible, the  users account should still be proteced by two factor authentication mechanisms to prevent attackers from logging in with the credentials."
Logging access control decisions,Access control decisions must be logged for forensics in the case of brute force attacks.  The logs of the access controls can also help with keeping track of potential session hijacking attacks. Since it can be measured where users logged in from and how many concurrent sessions are active.,Access control decisions must be logged for forensics in the case of brute force attacks.  The logs of the access controls can also help with keeping track of potential session hijacking attacks. Since it can be measured where users logged in from and how many concurrent sessions are active.
High value transactions,"Whenever there are high value transactions a normal username/password static authentication method does not suffice to ensure a high level of security. Whenever the application digests high level of transactions ensure that risk based reauthentication, two factor or transaction signing is in place.","Whenever there are high value transactions a normal username/password static authentication method does not suffice to ensure a high level of security. Whenever the application digests high level of transactions ensure that risk based reauthentication, two factor or transaction signing is in place."
Verify that structured data is strongly typed and validated,Whenever structured data is strongly typed and validated against a defined schema the application can be developed as a defensible proactive application. The application can now measure everything that is outside of its intending operation by means of the defined schema''s and should be used to reject the input if the schema checks return false.,Whenever structured data is strongly typed and validated against a defined schema the application can be developed as a defensible proactive application. The application can now measure everything that is outside of its intending operation by means of the defined schema''s and should be used to reject the input if the schema checks return false.
Logging guidelines to access sensitive information,"Whenever sensitive data is accessed by a user this event should be logged to later verify the integrity of the access to the data. The same principle applies to whenever the data is collected and under which protection directives the data is accessed to.  Example: Imagine an insurance company and an accident has happened that is being showed on the news.  Workers of that insurance company must not be able to randomly fill in license plates  they see on the news to find PI about the people having the accident if it is not related to their jobs. I.E, an insurance holder calls the company to file in an accident report.","Whenever sensitive data is accessed by a user this event should be logged to later verify the integrity of the access to the data. The same principle applies to whenever the data is collected and under which protection directives the data is accessed to.  Example: Imagine an insurance company and an accident has happened that is being showed on the news.  Workers of that insurance company must not be able to randomly fill in license plates  they see on the news to find PI about the people having the accident if it is not related to their jobs. I.E, an insurance holder calls the company to file in an accident report."
Log injection,"Log injection problems are a subset of injection problem, in which invalid entries taken from user input are inserted in logs or audit trails, allowing an attacker to mislead administrators or cover traces of an attack. Log injection can also sometimes be used to attack log monitoring systems indirectly by injecting data that monitoring systems will misinterpret.","Log injection problems are a subset of injection problem, in which invalid entries taken from user input are inserted in logs or audit trails, allowing an attacker to mislead administrators or cover traces of an attack. Log injection can also sometimes be used to attack log monitoring systems indirectly by injecting data that monitoring systems will misinterpret."
Validate the integrity of all security relevant configurations,Only authorized administrators should have access to change securityrelevant configurations.  These administrators should also regularly check these configurations to be adequate and that they are not unchanged by malicious intent. This could keep systems vulnerable to attacks due to the disabling of important security systems.,Only authorized administrators should have access to change securityrelevant configurations.  These administrators should also regularly check these configurations to be adequate and that they are not unchanged by malicious intent. This could keep systems vulnerable to attacks due to the disabling of important security systems.
Trusted repositories,"Whenever the components are loaded from untrusted repositories this could imply the  components are backdoored, outdated and cannot be trusted.","Whenever the components are loaded from untrusted repositories this could imply the  components are backdoored, outdated and cannot be trusted."
Sandboxing malicious code,"Whenever constraints that are imposed on the client side are not enforced on the server side than these constraints can be easily bypassed by means of an intercepting proxy. i.e whenever user should not  be able to edit a form by solely disabling the input fields, a potential attacker can edit these input  fields on the client side as editable and still submit the form.  The same principle goes for whenever certain parts of the application should be inaccessible. Simply hiding the pages from the presentation layer is insecure since the attacker can enumerate by brute forcing or fuzzing himself into different pages. Again the access controls should be enforced also on the server side.","Whenever constraints that are imposed on the client side are not enforced on the server side than these constraints can be easily bypassed by means of an intercepting proxy. i.e whenever user should not  be able to edit a form by solely disabling the input fields, a potential attacker can edit these input  fields on the client side as editable and still submit the form.  The same principle goes for whenever certain parts of the application should be inaccessible. Simply hiding the pages from the presentation layer is insecure since the attacker can enumerate by brute forcing or fuzzing himself into different pages. Again the access controls should be enforced also on the server side."
Context sensitive authorization,"Whenever granting users different types of authorization throughout the application the authorization grants should be granted and enforced outside of the attackers scope.  i.e whenever a user gets his authorization grants through a cookie that says,  ````     auth=admin or auth=user ````  These authorization grants are easily manipulable.","Whenever granting users different types of authorization throughout the application the authorization grants should be granted and enforced outside of the attackers scope.  i.e whenever a user gets his authorization grants through a cookie that says,  ````     auth=admin or auth=user ````  These authorization grants are easily manipulable."
